gene	sub_category	Category
ccdA	DNA_replication	Defense_mechanisms
ccdB	DNA_replication	Defense_mechanisms
parD	DNA_replication	Defense_mechanisms
parE	DNA_replication	Defense_mechanisms
hipA	mRNA_synthesis	Defense_mechanisms
hipB	mRNA_synthesis	Defense_mechanisms
relB	Macromolecular_synthesis	Defense_mechanisms
relE	Macromolecular_synthesis	Defense_mechanisms
doc	Macromolecular_synthesis	Defense_mechanisms
phd	Macromolecular_synthesis	Defense_mechanisms
vapB	Macromolecular_synthesis	Defense_mechanisms
vapC	Macromolecular_synthesis	Defense_mechanisms
mazE	Macromolecular_synthesis	Defense_mechanisms
mazF	Macromolecular_synthesis	Defense_mechanisms
mqsA	Macromolecular_synthesis	Defense_mechanisms
mqsR	Macromolecular_synthesis	Defense_mechanisms
sok	Membrane_disruption	Defense_mechanisms
hokTisB	Membrane_disruption	Defense_mechanisms
istR	Membrane_disruption	Defense_mechanisms
toxN	Phage_infections	Defense_mechanisms
toxI	Phage_infections	Defense_mechanisms
cbtA	Cytoskeletal_polymerization	Defense_mechanisms
cbtE	Cytoskeletal_polymerization	Defense_mechanisms
hsdM	Type_1_restricion-modification	Defense_mechanisms
hsdS	Type_1_restricion-modification	Defense_mechanisms
hsdR	Type_1_restricion-modification	Defense_mechanisms
mod	Type_3_restriction-modification	Defense_mechanisms
res	Type_3_restriction-modification	Defense_mechanisms
mcrA	Type_4_restriction-modification	Defense_mechanisms
mcrB	Type_4_restriction-modification	Defense_mechanisms
cas3	Crispr-Cas_system	Defense_mechanisms
cas9	Crispr-Cas_system	Defense_mechanisms
cas10	Crispr-Cas_system	Defense_mechanisms
motA	Flagellar_motor_proteins	Flagellar_motor_proteins
motB	Flagellar_motor_proteins	Flagellar_motor_proteins
fliG	Flagellar_motor_proteins	Flagellar_motor_proteins
fliM	Flagellar_motor_proteins	Flagellar_motor_proteins
fliN	Flagellar_motor_proteins	Flagellar_motor_proteins
ompF	osmoregulatory_genes	osmoregulatory_genes
ompC	osmoregulatory_genes	osmoregulatory_genes
envZ	osmoregulatory_genes	osmoregulatory_genes
ompR	osmoregulatory_genes	osmoregulatory_genes
kdpD	osmoregulatory_genes	osmoregulatory_genes
kdpE	osmoregulatory_genes	osmoregulatory_genes
proU	osmoregulatory_genes	osmoregulatory_genes
proV	osmoregulatory_genes	osmoregulatory_genes
proW	osmoregulatory_genes	osmoregulatory_genes
proX	osmoregulatory_genes	osmoregulatory_genes
mtrB	osmoregulatory_genes	osmoregulatory_genes
mtrA	osmoregulatory_genes	osmoregulatory_genes
putP	osmoregulatory_genes	osmoregulatory_genes
otsA	osmoregulatory_genes	osmoregulatory_genes
otsB	osmoregulatory_genes	osmoregulatory_genes
bet	osmoregulatory_genes	osmoregulatory_genes
COG1125	osmoregulatory_genes	osmoregulatory_genes
COG4175	osmoregulatory_genes	osmoregulatory_genes
COG1174	osmoregulatory_genes	osmoregulatory_genes
COG4176	osmoregulatory_genes	osmoregulatory_genes
COG1292	osmoregulatory_genes	osmoregulatory_genes
COG1732	osmoregulatory_genes	osmoregulatory_genes
COG2303	osmoregulatory_genes	osmoregulatory_genes
COG0380	osmoregulatory_genes	osmoregulatory_genes
COG1877	osmoregulatory_genes	osmoregulatory_genes
COG3280	osmoregulatory_genes	osmoregulatory_genes
COG3280	osmoregulatory_genes	osmoregulatory_genes
COG0591	osmoregulatory_genes	osmoregulatory_genes
COG3004	osmoregulatory_genes	osmoregulatory_genes
COG1055	osmoregulatory_genes	osmoregulatory_genes
COG0025	osmoregulatory_genes	osmoregulatory_genes
COG0651	osmoregulatory_genes	osmoregulatory_genes
COG1009	osmoregulatory_genes	osmoregulatory_genes
COG1320	osmoregulatory_genes	osmoregulatory_genes
trx1	Protein_Repair	Macromolecular_turnover
trx2	Protein_Repair	Macromolecular_turnover
grxs	Protein_Repair	Macromolecular_turnover
msrsA	Protein_Repair	Macromolecular_turnover
msrsB	Protein_Repair	Macromolecular_turnover
msrsC	Protein_Repair	Macromolecular_turnover
bisC	Protein_Repair	Macromolecular_turnover
phaA	Lipid_transport_and_metabolism	Macromolecular_turnover
phaB	Lipid_transport_and_metabolism	Macromolecular_turnover
phaC	Lipid_transport_and_metabolism	Macromolecular_turnover
phaD	Lipid_transport_and_metabolism	Macromolecular_turnover
phaE	Lipid_transport_and_metabolism	Macromolecular_turnover
phaF	Lipid_transport_and_metabolism	Macromolecular_turnover
phaI	Lipid_transport_and_metabolism	Macromolecular_turnover
phaP	Lipid_transport_and_metabolism	Macromolecular_turnover
phaR	Lipid_transport_and_metabolism	Macromolecular_turnover
katG	Oxidative_stress
soxR	Oxidative_stress
soxS	Oxidative_stress
ahpC	Oxidative_stress
ahpF	Oxidative_stress
gorA	Oxidative_stress
grxA	Oxidative_stress
trxC	Oxidative_stress
nfo	Oxidative_stress
dps	Oxidative_stress
fur	Oxidative_stress
sodA	Oxidative_stress
zwf	Oxidative_stress
fur	Oxidative_stress
fumC	Oxidative_stress
acnA	Oxidative_stress
fpr	Oxidative_stress
fldA	Oxidative_stress
fldB	Oxidative_stress
rSP_2389	Oxidative_stress
rSP_0799	Oxidative_stress
COG0753	Oxidative_stress
COG0678	Oxidative_stress
COG1225	Oxidative_stress
COG0386	Oxidative_stress
COG0421	Oxidative_stress
COG0492	Oxidative_stress
COG0491	Oxidative_stress
ompA	Outer_membrane_vesicles
nlpl	Outer_membrane_vesicles
tolR	Outer_membrane_vesicles
rfaE	Outer_membrane_vesicles
waaC	Outer_membrane_vesicles
yipP	Outer_membrane_vesicles
mrcB	Outer_membrane_vesicles
degS	Outer_membrane_vesicles
hns	Outer_membrane_vesicles
pmrC	Outer_membrane_vesicles
cptA	Outer_membrane_vesicles
eptA	Outer_membrane_vesicles
envC	Outer_membrane_vesicles
htrA	Outer_membrane_vesicles
dsbl	Outer_membrane_vesicles
natA	ion_gradients
natB	ion_gradients
epsA	Exopolysaccharide_production
epsB	Exopolysaccharide_production
epsD	Exopolysaccharide_production
epsE	Exopolysaccharide_production
epsF	Exopolysaccharide_production
epsH	Exopolysaccharide_production
